Source,Target,W,Weight,Sight
1,0,0.0031244709259164822,0.0031244709259164822,1
2,0,-0.0018373982341732189,0.0018373982341732189,0
3,0,-0.002207969652175198,0.002207969652175198,0
4,0,0.0007196259126457111,0.0007196259126457111,1
5,0,0.002221361476084431,0.002221361476084431,1
6,0,0.008366840549160324,0.008366840549160324,1
7,0,-0.0010950180481871209,0.0010950180481871209,0
8,0,-0.03776284814584964,0.03776284814584964,0
9,0,0.008707417689448283,0.008707417689448283,1
0,1,-0.0024153521832814763,0.0024153521832814763,0
2,1,-0.008650368426848272,0.008650368426848272,0
3,1,0.03424256974285129,0.03424256974285129,1
4,1,-0.058249667863292845,0.058249667863292845,0
5,1,-0.037185745291975984,0.037185745291975984,0
6,1,-0.016944492973504005,0.016944492973504005,0
7,1,0.02569427870173018,0.02569427870173018,1
8,1,0.013397307236428235,0.013397307236428235,1
9,1,-0.013455714895695376,0.013455714895695376,0
0,2,0.012843593184656272,0.012843593184656272,1
1,2,-0.009886926408243915,0.009886926408243915,0
3,2,0.016811114447680853,0.016811114447680853,1
4,2,-0.03317279727568997,0.03317279727568997,0
5,2,0.03941853945035334,0.03941853945035334,1
6,2,0.007695288761416203,0.007695288761416203,1
7,2,0.013005695510453013,0.013005695510453013,1
8,2,0.028735979931085273,0.028735979931085273,1
9,2,-0.002533536373472004,0.002533536373472004,0
0,3,0.0032252606632425886,0.0032252606632425886,1
1,3,0.002668242192425682,0.002668242192425682,1
2,3,0.00047879681647705803,0.00047879681647705803,1
4,3,0.020990760153282873,0.020990760153282873,1
5,3,0.007211874589021824,0.007211874589021824,1
6,3,0.010326085936940309,0.010326085936940309,1
7,3,0.004617056366885831,0.004617056366885831,1
8,3,-0.018280926017234966,0.018280926017234966,0
9,3,0.001150700492689575,0.001150700492689575,1
0,4,-0.0018293816175505297,0.0018293816175505297,0
1,4,-0.028107160438548592,0.028107160438548592,0
2,4,-0.015611730856287477,0.015611730856287477,0
3,4,0.03369365125115212,0.03369365125115212,1
5,4,-0.02299696724877421,0.02299696724877421,0
6,4,-0.0012705667887821022,0.0012705667887821022,0
7,4,-0.021433729423977116,0.021433729423977116,0
8,4,-0.04871192589192495,0.04871192589192495,0
9,4,-0.010014207709051816,0.010014207709051816,0
0,5,-0.018987583057659404,0.018987583057659404,0
1,5,-0.005236832010822233,0.005236832010822233,0
2,5,0.014719800428713292,0.014719800428713292,1
3,5,0.031720201685081814,0.031720201685081814,1
4,5,-0.030302619761880086,0.030302619761880086,0
6,5,-0.038906503858515185,0.038906503858515185,0
7,5,0.03088136720526665,0.03088136720526665,1
8,5,0.0249761791048757,0.0249761791048757,1
9,5,-0.024291660659657772,0.024291660659657772,0
0,6,0.0007963531684897779,0.0007963531684897779,1
1,6,0.0011838823838844052,0.0011838823838844052,1
2,6,-0.004948175071739914,0.004948175071739914,0
3,6,0.00658677343546499,0.00658677343546499,1
4,6,-0.00977277873251344,0.00977277873251344,0
5,6,-0.005671491232909705,0.005671491232909705,0
7,6,-0.0034726398725910103,0.0034726398725910103,0
8,6,0.01740423188100465,0.01740423188100465,1
9,6,-0.0177379525866811,0.0177379525866811,0
0,7,0.00020484073851946175,0.00020484073851946175,1
1,7,0.005344352054158867,0.005344352054158867,1
2,7,-0.00775023152885301,0.00775023152885301,0
3,7,-0.010269878172844978,0.010269878172844978,0
4,7,0.0008637318008818221,0.0008637318008818221,1
5,7,0.02114936774691187,0.02114936774691187,1
6,7,-0.0034432637173212165,0.0034432637173212165,0
8,7,0.02481846981793786,0.02481846981793786,1
9,7,0.034523254708908935,0.034523254708908935,1
0,8,-0.0007816972507636233,0.0007816972507636233,0
1,8,0.008848888856932375,0.008848888856932375,1
2,8,0.005321653022885499,0.005321653022885499,1
3,8,0.007027811633110908,0.007027811633110908,1
4,8,-0.0052036133099926,0.0052036133099926,0
5,8,-0.007490001820772929,0.007490001820772929,0
6,8,-0.0023286399196650095,0.0023286399196650095,0
7,8,-0.01730631752835053,0.01730631752835053,0
9,8,-0.0022209810109200265,0.0022209810109200265,0
0,9,-0.009523865302301019,0.009523865302301019,0
1,9,-0.0021162819177204233,0.0021162819177204233,0
2,9,0.003656794363695845,0.003656794363695845,1
3,9,0.009452635596487142,0.009452635596487142,1
4,9,-0.021137945290252202,0.021137945290252202,0
5,9,0.014932202998961964,0.014932202998961964,1
6,9,0.00038854630232199803,0.00038854630232199803,1
7,9,0.01980352278703616,0.01980352278703616,1
8,9,0.030948191554604286,0.030948191554604286,1
